IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
0,3,1723,1,6,21,,,,,,
0,3,1723,1,6,21,,,,,,
6,0,1611,0,0,1,6,,,,,
6,0,1611,0,2,11,6,,2,,0,
6,0,1611,1,2,11,6,,2,,0,
6,0,1611,1,2,11,6,,2,,0,
0,5,1724,0,0,2,,5,,,,
0,5,1724,0,3,21,,,,,,
0,5,1724,1,3,21,,,,,,
0,5,1724,1,3,21,,,,,,
0,5,1724,1,3,21,,,,,,
0,5,1724,1,3,21,,,,,,
0,0,1725,0,0,2,,0,,,,
0,0,1725,0,4,21,,,,,,
6,0,1612,0,0,1,6,,,,,
0,0,1725,1,4,21,,,,,,
0,0,1725,1,4,21,,,,,,
0,0,1725,1,4,21,,,,,,
0,0,1725,1,4,21,,,,,,
6,0,1612,1,0,1,6,,,,,
6,0,1612,1,0,1,6,,,,,
0,5,1726,0,0,2,,5,,,,
0,5,1726,0,4,21,,,,,,
0,5,1726,1,4,21,,,,,,
0,5,1726,1,4,21,,,,,,
0,5,1726,1,4,21,,,,,,
0,5,1726,1,4,21,,,,,,
0,8,1727,0,0,2,,8,,,,
0,8,1727,0,6,21,,,,,,
0,8,1727,1,6,21,,,,,,
0,8,1727,1,6,21,,,,,,
0,8,1727,1,6,21,,,,,,
0,8,1727,1,6,21,,,,,,
0,0,1728,0,0,2,,0,,,,
0,0,1728,0,6,21,,,,,,
0,0,1728,1,6,21,,,,,,
0,0,1728,1,6,21,,,,,,
0,0,1728,1,6,21,,,,,,
0,0,1728,1,6,21,,,,,,
2,0,1613,0,0,1,2,,,,,
0,0,1729,0,0,2,,0,,,,
0,0,1729,0,4,21,,,,,,
0,0,1729,1,4,21,,,,,,
0,0,1729,1,4,21,,,,,,
0,0,1729,1,4,21,,,,,,
0,0,1729,1,4,21,,,,,,
1,0,1614,0,0,1,1,,,,,
1,0,1614,0,6,11,1,,6,,0,
1,0,1614,1,6,11,1,,6,,0,
1,0,1614,1,6,11,1,,6,,0,
0,8,1730,0,0,2,,8,,,,
0,8,1730,0,2,21,,,,,,
0,8,1730,1,2,21,,,,,,
0,8,1730,1,2,21,,,,,,
0,8,1730,1,2,21,,,,,,
0,8,1730,1,2,21,,,,,,
7,0,1615,0,0,1,7,,,,,
7,0,1615,1,0,1,7,,,,,
